country,1991/1,1991/10,1991/11,1991/12,1991/2,1991/3,1991/4,1991/5,1991/6,1991/7,1991/8,1991/9,1992/1,1992/10,1992/11,1992/12,1992/2,1992/3,1992/4,1992/5,1992/6,1992/7,1992/8,1992/9,1993/1,1993/10,1993/11,1993/12,1993/2,1993/3,1993/4,1993/5,1993/6,1993/7,1993/8,1993/9,1994/1,1994/10,1994/11,1994/12,1994/2,1994/3,1994/4,1994/5,1994/6,1994/7,1994/8,1994/9,1995/1,1995/10,1995/11,1995/12,1995/2,1995/3,1995/4,1995/5,1995/6,1995/7,1995/8,1995/9,1996/1,1996/10,1996/11,1996/12,1996/2,1996/3,1996/4,1996/5,1996/6,1996/7,1996/8,1996/9,1997/1,1997/10,1997/11,1997/12,1997/2,1997/3,1997/4,1997/5,1997/6,1997/7,1997/8,1997/9,1998/1,1998/10,1998/11,1998/12,1998/2,1998/3,1998/4,1998/5,1998/6,1998/7,1998/8,1998/9,1999/1,1999/10,1999/11,1999/12,1999/2,1999/3,1999/4,1999/5,1999/6,1999/7,1999/8,1999/9,2000/1,2000/10,2000/11,2000/12,2000/2,2000/3,2000/4,2000/5,2000/6,2000/7,2000/8,2000/9,2001/1,2001/10,2001/11,2001/12,2001/2,2001/3,2001/4,2001/5,2001/6,2001/7,2001/8,2001/9,2002/1,2002/10,2002/11,2002/12,2002/2,2002/3,2002/4,2002/5,2002/6,2002/7,2002/8,2002/9,2003/1,2003/10,2003/11,2003/12,2003/2,2003/3,2003/4,2003/5,2003/6,2003/7,2003/8,2003/9,2004/1,2004/10,2004/11,2004/12,2004/2,2004/3,2004/4,2004/5,2004/6,2004/7,2004/8,2004/9,2005/1,2005/10,2005/11,2005/12,2005/2,2005/3,2005/4,2005/5,2005/6,2005/7,2005/8,2005/9,2006/1,2006/10,2006/11,2006/12,2006/2,2006/3,2006/4,2006/5,2006/6,2006/7,2006/8,2006/9,2007/1,2007/10,2007/11,2007/12,2007/2,2007/3,2007/4,2007/5,2007/6,2007/7,2007/8,2007/9,2008/1,2008/10,2008/11,2008/12,2008/2,2008/3,2008/4,2008/5,2008/6,2008/7,2008/8,2008/9,2009/1,2009/10,2009/11,2009/12,2009/2,2009/3,2009/4,2009/5,2009/6,2009/7,2009/8,2009/9,2010/1,2010/10,2010/11,2010/12,2010/2,2010/3,2010/4,2010/5,2010/6,2010/7,2010/8,2010/9,2011/1,2011/10,2011/11,2011/12,2011/2,2011/3,2011/4,2011/5,2011/6,2011/7,2011/8,2011/9,2012/1,2012/10,2012/11,2012/12,2012/2,2012/3,2012/4,2012/5,2012/6,2012/7,2012/8,2012/9,2013/1,2013/10,2013/11,2013/12,2013/2,2013/3,2013/4,2013/5,2013/6,2013/7,2013/8,2013/9,2015/1,2015/10,2015/11,2015/12,2015/2,2015/3,2015/4,2015/5,2015/6,2015/7,2015/8,2015/9
AT,4730.0,4124.0,4345.0,4655.0,4553.0,4303.0,3936.0,3852.0,3632.0,3749.0,3623.0,3609.0,4720.0,4121.0,4274.0,4559.0,4360.0,4372.0,3899.0,3673.0,3578.0,3651.0,3507.0,3634.0,4601.0,4070.0,4500.0,4616.0,4405.0,4577.0,3865.0,3597.0,3533.0,3685.0,3598.0,3792.0,4588.0,4146.0,4250.0,4687.0,4345.0,4342.0,3924.0,3766.0,3685.0,3646.0,3612.0,3751.0,4974.0,4083.0,4609.0,4835.0,4227.0,4642.0,3999.0,3883.0,3772.0,3761.0,3707.0,3918.0,5142.0,4492.0,4497.0,4981.0,4934.0,4825.0,4171.0,3918.0,3806.0,3956.0,3813.0,4124.0,5286.0,4681.0,4777.0,4984.0,4529.0,4658.0,4442.0,4012.0,4000.0,4086.0,3966.0,4118.0,5082.0,4674.0,4917.0,5255.0,4549.0,4935.0,4339.0,4146.0,4058.0,4180.0,4073.0,4313.0,5209.0,4652.0,5086.0,5391.0,4932.0,4915.0,4419.0,4270.0,4247.0,4352.0,4222.0,4318.0,5607.0,4952.0,5119.0,5415.0,5133.0,5267.0,4597.0,4512.0,4354.0,4509.0,4451.0,4597.0,5723.0,5136.0,5466.0,5853.0,5096.0,5362.0,4808.0,4627.0,4460.0,4641.0,4509.0,4739.0,6262.0,5336.0,5815.0,5704.0,5047.0,5161.0,4799.0,4372.0,4380.0,4544.0,4301.0,4702.0,5916.0,5325.0,5211.0,5566.0,5513.0,5444.0,4797.0,4492.0,4432.0,4671.0,4501.0,4642.0,6240.0,5537.0,5954.0,6215.0,5841.0,6122.0,5409.0,5233.0,5240.0,5281.0,4983.0,5244.0,5339.0,5432.0,5805.0,6211.0,5051.0,5218.0,5180.0,5023.0,4994.0,5063.0,4846.0,5012.0,6407.0,5561.0,5766.0,6054.0,5757.0,5704.0,5266.0,5240.0,5154.0,5273.0,5130.0,5188.0,6266.0,5865.0,6058.0,6292.0,5520.0,5896.0,5194.0,5298.0,5199.0,5341.0,5179.0,5331.0,6356.0,5764.0,5762.0,6066.0,5879.0,6064.0,5603.0,5363.0,5345.0,5448.0,5244.0,5484.0,6258.0,5646.0,5718.0,6121.0,5637.0,5865.0,5009.0,5025.0,4966.0,5188.0,4991.0,5211.0,6348.0,5798.0,5903.0,6551.0,5752.0,6030.0,5342.0,5301.0,5264.0,5393.0,5243.0,5399.0,6417.0,5754.0,5990.0,6204.0,5849.0,6163.0,5348.0,5423.0,5193.0,5396.0,5383.0,5447.0,6348.0,5835.0,5926.0,6314.0,6353.0,6062.0,5444.0,5406.0,5323.0,5475.0,5397.0,5377.0,6541.0,5900.0,6051.0,6264.0,5974.0,6269.0,5587.0,5395.0,5337.0,5514.0,5340.0,5437.0,6498.0,5900.0,6005.0,6234.0,5984.0,6203.0,5542.0,5468.0,5376.0,5588.0,5436.0,5271.0
BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251.0,965.0,1325.0,1428.0,1047.0,1160.0,1141.0,979.0,943.0,846.0,776.0,749.0,1013.0,950.0,951.0,1058.0,922.0,941.0,829.0,790.0,769.0,802.0,810.0,795.0,1037.0,917.0,1037.0,1085.0,983.0,988.0,882.0,832.0,909.0,841.0,856.0,824.0,1118.0,907.0,963.0,1069.0,976.0,986.0,847.0,852.0,837.0,853.0,861.0,840.0,1024.0,985.0,1016.0,1114.0,890.0,952.0,851.0,869.0,842.0,889.0,874.0,865.0,1093.0,983.0,993.0,1087.0,998.0,1012.0,911.0,908.0,888.0,928.0,939.0,835.0,1100.0,939.0,961.0,1055.0,935.0,963.0,816.0,831.0,813.0,863.0,879.0,846.0,1073.0,1031.0,1001.0,1158.0,977.0,1015.0,911.0,898.0,875.0,929.0,944.0,913.0,1155.0,1014.0,1086.0,1157.0,1038.0,1075.0,938.0,939.0,908.0,967.0,984.0,925.0,1161.0,990.0,993.0,1139.0,1135.0,1020.0,957.0,934.0,913.0,976.0,983.0,921.0,1111.0,1002.0,1030.0,1168.0,1009.0,1060.0,946.0,920.0,904.0,967.0,978.0,921.0,1118.0,1001.0,1040.0,1166.0,1004.0,1049.0,946.0,917.0,900.0,985.0,967.0,927.0
BE,6157.0,5744.0,5924.0,6166.0,5802.0,5623.0,5255.0,5200.0,5024.0,4608.0,4733.0,5062.0,6423.0,6053.0,5915.0,6150.0,5894.0,5992.0,5535.0,5219.0,5121.0,4746.0,5022.0,5371.0,6289.0,6074.0,6224.0,6449.0,5871.0,6092.0,5508.0,5273.0,5245.0,4765.0,5017.0,5521.0,6531.0,6297.0,6248.0,6711.0,6067.0,6417.0,5892.0,5572.0,5528.0,5031.0,5327.0,5827.0,7002.0,6137.0,6374.0,6863.0,6185.0,6715.0,6038.0,5900.0,5724.0,5242.0,5526.0,5819.0,7072.0,6467.0,6693.0,7137.0,6752.0,6807.0,5983.0,6007.0,5591.0,5361.0,5481.0,5932.0,7536.0,6721.0,6798.0,7180.0,6412.0,6634.0,6331.0,6046.0,5906.0,5645.0,5800.0,6059.0,7327.0,6983.0,7098.0,7223.0,6602.0,7091.0,6574.0,6290.0,6099.0,5840.0,5912.0,6377.0,7171.0,7035.0,7237.0,7572.0,6755.0,7128.0,6494.0,6212.0,6186.0,5873.0,6071.0,6366.0,7552.0,7210.0,7323.0,7506.0,7107.0,7422.0,6680.0,6714.0,6323.0,6167.0,6284.0,6563.0,7906.0,7064.0,7301.0,7605.0,7077.0,7602.0,6904.0,6628.0,6351.0,6152.0,6344.0,6620.0,7823.0,7390.0,7343.0,7799.0,7212.0,7341.0,6826.0,6761.0,6541.0,6395.0,6448.0,6711.0,8209.0,7611.0,7481.0,7889.0,7460.0,7516.0,7001.0,6860.0,6599.0,6517.0,6501.0,6838.0,8173.0,7542.0,7686.0,8131.0,7557.0,7857.0,7110.0,6956.0,6843.0,6604.0,6751.0,7066.0,8164.0,7305.0,7769.0,8237.0,7534.0,7844.0,7171.0,6993.0,6812.0,6481.0,6636.0,6981.0,8498.0,7603.0,7741.0,8080.0,7768.0,8261.0,7290.0,7234.0,7001.0,6906.0,6859.0,7121.0,8332.0,7803.0,8012.0,8248.0,7476.0,7950.0,7084.0,7174.0,7035.0,6874.0,7032.0,7140.0,8466.0,7637.0,7425.0,7551.0,7991.0,8095.0,7598.0,7332.0,7076.0,6950.0,6880.0,7204.0,8029.0,7331.0,7206.0,7849.0,7160.0,7189.0,6445.0,6522.0,6417.0,6344.0,6494.0,6819.0,8403.0,7604.0,7821.0,8574.0,7552.0,7892.0,7242.0,7200.0,7008.0,6876.0,6921.0,7106.0,8748.0,7188.0,7276.0,7593.0,7408.0,7818.0,7002.0,7103.0,6874.0,6602.0,6676.0,6732.0,7911.0,7041.0,7306.0,7482.0,7956.0,7487.0,6915.0,6764.0,6544.0,6276.0,6648.0,6527.0,8037.0,7470.0,7737.0,7621.0,7217.0,7797.0,6989.0,6824.0,6556.0,6582.0,6663.0,6746.0,8057.0,7221.0,7202.0,7284.0,7312.0,7653.0,6940.0,6795.0,6657.0,6548.0,6609.0,6731.0
BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899.0,2968.0,3239.0,3917.0,3770.0,3643.0,3000.0,2375.0,2342.0,2524.0,2518.0,2499.0,3633.0,2743.0,3160.0,3564.0,3457.0,3269.0,2662.0,2529.0,2440.0,2537.0,2527.0,2496.0,3584.0,2964.0,3386.0,3667.0,3420.0,3418.0,2780.0,2517.0,2492.0,2652.0,2629.0,2574.0,3999.0,2642.0,3035.0,3351.0,3530.0,3447.0,2735.0,2686.0,2630.0,2424.0,2485.0,2708.0,3204.0,2768.0,3100.0,3635.0,2971.0,3052.0,2562.0,2464.0,2438.0,2360.0,2339.0,2233.0,3917.0,2722.0,2982.0,3304.0,3295.0,2954.0,2637.0,2522.0,2459.0,2578.0,2584.0,2499.0,3609.0,2578.0,2766.0,3180.0,3076.0,3192.0,2533.0,2293.0,2274.0,2436.0,2369.0,2270.0,3483.0,2739.0,2634.0,3253.0,3048.0,3018.0,2440.0,2284.0,2021.0,2113.0,2239.0,2265.0,3471.0,2713.0,3112.0,3163.0,3102.0,3083.0,2573.0,2408.0,2325.0,2487.0,2459.0,2337.0,3552.0,2387.0,2711.0,3316.0,3574.0,2977.0,2334.0,2281.0,2285.0,2475.0,2391.0,2180.0,3387.0,2648.0,2752.0,3358.0,2919.0,2891.0,2432.0,2207.0,2345.0,2453.0,2495.0,2314.0,3455.0,2703.0,2766.0,3171.0,3068.0,3111.0,2639.0,2404.0,2363.0,2611.0,2537.0,2416.0
CH,4927.0,4391.0,4670.0,4903.0,4727.0,4457.0,4185.0,4090.0,3805.0,3637.0,3697.0,3847.0,5088.0,4432.0,4500.0,4738.0,4973.0,4693.0,4158.0,3938.0,3733.0,3704.0,3741.0,3923.0,4798.0,4371.0,4774.0,4788.0,4555.0,4777.0,3992.0,3803.0,3772.0,3659.0,3689.0,3950.0,4820.0,4311.0,4443.0,4722.0,4514.0,4437.0,4177.0,3911.0,3883.0,3638.0,3707.0,3984.0,5158.0,4199.0,4682.0,4911.0,4379.0,4814.0,4045.0,4001.0,3882.0,3710.0,3756.0,4030.0,5075.0,4373.0,4850.0,4930.0,4928.0,4764.0,4109.0,3964.0,3770.0,3738.0,3733.0,4148.0,5225.0,4515.0,4791.0,5004.0,4533.0,4521.0,4235.0,3984.0,3854.0,3810.0,3815.0,4040.0,5106.0,4472.0,4955.0,5142.0,4608.0,4822.0,4289.0,4038.0,3980.0,3867.0,3893.0,4202.0,5189.0,4611.0,5104.0,5306.0,4996.0,5038.0,4447.0,4147.0,3999.0,3920.0,4017.0,4282.0,5474.0,4791.0,5126.0,5131.0,5021.0,5084.0,4427.0,4434.0,4173.0,4142.0,4229.0,4369.0,5514.0,4803.0,5233.0,5495.0,4955.0,5226.0,4715.0,4501.0,4286.0,4341.0,4322.0,4509.0,5748.0,5019.0,5146.0,5406.0,4977.0,5152.0,4762.0,4611.0,4380.0,4342.0,4349.0,4561.0,5722.0,5106.0,5200.0,5523.0,5381.0,5217.0,4729.0,4459.0,4502.0,4433.0,4435.0,4554.0,5773.0,5024.0,5383.0,5777.0,5333.0,5540.0,4776.0,4646.0,4534.0,4446.0,4510.0,4645.0,6004.0,5221.0,5532.0,6070.0,5593.0,5612.0,5065.0,4826.0,4782.0,4703.0,4723.0,4916.0,6221.0,5145.0,5468.0,5802.0,5586.0,5968.0,4987.0,4930.0,4792.0,4718.0,4692.0,4914.0,5856.0,5400.0,5816.0,6027.0,5317.0,5672.0,4817.0,4920.0,4824.0,4730.0,4763.0,4918.0,6061.0,5392.0,5642.0,5998.0,5611.0,5732.0,5373.0,4979.0,4907.0,4855.0,4807.0,5077.0,6297.0,5291.0,5512.0,6037.0,5611.0,5710.0,4797.0,4765.0,4675.0,4727.0,4744.0,4846.0,6329.0,5519.0,5797.0,6409.0,5698.0,5968.0,5107.0,5096.0,4946.0,4919.0,4898.0,5023.0,6298.0,5370.0,5722.0,6042.0,5682.0,5910.0,4927.0,5084.0,4792.0,4797.0,4869.0,4946.0,6234.0,5447.0,5696.0,6094.0,6329.0,5654.0,5106.0,4916.0,4797.0,4770.0,4828.0,4886.0,6272.0,5289.0,5767.0,6088.0,5916.0,5985.0,5241.0,5056.0,4824.0,4813.0,4755.0,4845.0,6239.0,5323.0,5519.0,5796.0,5842.0,5717.0,5016.0,4840.0,4712.0,4773.0,4735.0,4899.0
CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4349.0,3375.0,3641.0,4333.0,4180.0,3934.0,3328.0,2740.0,2653.0,2693.0,2723.0,2714.0,4514.0,3272.0,3807.0,4400.0,4095.0,3941.0,3229.0,2993.0,2778.0,2825.0,2788.0,2837.0,4283.0,3415.0,3931.0,4416.0,4147.0,4063.0,3227.0,2912.0,2762.0,2810.0,2816.0,2850.0,4594.0,3289.0,3837.0,4332.0,3992.0,4184.0,3253.0,3041.0,2947.0,2921.0,2939.0,2933.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5710.0,4947.0,5486.0,5676.0,5165.0,5466.0,4568.0,4188.0,3940.0,3809.0,3892.0,4302.0,5598.0,4708.0,5287.0,5519.0,5279.0,5225.0,4429.0,4128.0,3867.0,3628.0,3801.0,3970.0,5802.0,4832.0,5187.0,5477.0,5233.0,5434.0,4478.0,4167.0,4061.0,3909.0,4099.0,4295.0,5895.0,4868.0,5514.0,5749.0,5175.0,5535.0,4908.0,4309.0,4196.0,3955.0,4145.0,4440.0,5984.0,5182.0,5358.0,5832.0,5067.0,5361.0,4799.0,4312.0,4092.0,4076.0,4077.0,4382.0,6066.0,5320.0,5422.0,5721.0,5617.0,5497.0,4927.0,4349.0,4187.0,4171.0,4210.0,4406.0,6153.0,5179.0,5633.0,5930.0,5576.0,5796.0,4919.0,4732.0,4401.0,4222.0,4343.0,4567.0,6042.0,5254.0,5816.0,6085.0,5736.0,5916.0,5013.0,4821.0,4518.0,4359.0,4479.0,4654.0,6641.0,5326.0,5775.0,5822.0,5882.0,6190.0,5123.0,4872.0,4724.0,4541.0,4688.0,4724.0,6055.0,5636.0,6123.0,6182.0,5534.0,5884.0,5071.0,5009.0,4777.0,4671.0,4788.0,4933.0,6342.0,5533.0,5636.0,5688.0,5874.0,6014.0,5499.0,5110.0,4784.0,4819.0,4761.0,5081.0,6283.0,5357.0,5479.0,5831.0,5562.0,5718.0,4629.0,4599.0,4499.0,4483.0,4510.0,4648.0,6277.0,5417.0,5539.0,6254.0,5640.0,5806.0,5046.0,4963.0,4687.0,4568.0,4679.0,4860.0,6160.0,5312.0,5717.0,5717.0,5685.0,5790.0,4966.0,4975.0,4683.0,4564.0,4754.0,4713.0,6029.0,5381.0,5512.0,5725.0,6176.0,5595.0,5088.0,4879.0,4652.0,4595.0,4683.0,4713.0,6117.0,5319.0,5573.0,5651.0,5517.0,5915.0,5101.0,4842.0,4635.0,4556.0,4668.0,4815.0,6019.0,5509.0,5553.0,5624.0,5584.0,5774.0,5200.0,4972.0,4818.0,4859.0,4641.0,4865.0
DE,42960.0,39053.0,40689.0,41376.0,40635.0,39147.0,37131.0,35837.0,34338.0,33659.0,32965.0,34676.0,43404.0,39826.0,39933.0,40496.0,40458.0,40979.0,37025.0,34606.0,33124.0,34067.0,32558.0,35274.0,41587.0,38720.0,41557.0,41585.0,39476.0,41395.0,35679.0,33503.0,33182.0,32835.0,32908.0,35701.0,41663.0,38838.0,39678.0,41513.0,39067.0,40734.0,36476.0,34983.0,34207.0,33728.0,34026.0,35958.0,44030.0,43930.0,48013.0,50155.0,38115.0,41930.0,36389.0,36073.0,34129.0,33867.0,34081.0,41414.0,52421.0,46309.0,47863.0,50603.0,49450.0,49554.0,42957.0,42128.0,39396.0,40361.0,40148.0,42574.0,54036.0,47508.0,49192.0,50231.0,45820.0,46349.0,45777.0,41693.0,41138.0,41723.0,40357.0,42298.0,50898.0,48186.0,50412.0,51470.0,46330.0,49932.0,44737.0,42816.0,41496.0,43049.0,41998.0,44305.0,47002.0,44320.0,46923.0,48932.0,44597.0,46488.0,41164.0,39623.0,38800.0,39308.0,39217.0,40624.0,49541.0,45615.0,46923.0,47628.0,46272.0,47985.0,42178.0,42548.0,39286.0,40869.0,40033.0,42436.0,50795.0,44790.0,47159.0,47481.0,44411.0,48465.0,43492.0,43081.0,39169.0,41007.0,41078.0,41685.0,50536.0,45132.0,46645.0,47818.0,43691.0,47408.0,43885.0,42819.0,39961.0,40725.0,40119.0,42027.0,51972.0,46742.0,47311.0,48136.0,48079.0,47640.0,43901.0,42905.0,40763.0,42115.0,41465.0,42997.0,51017.0,46883.0,49159.0,50298.0,47312.0,49694.0,43871.0,43291.0,42319.0,43535.0,42234.0,43060.0,50927.0,46034.0,49063.0,50306.0,48766.0,49467.0,45074.0,43240.0,43598.0,43805.0,43010.0,43081.0,52891.0,45998.0,48617.0,48028.0,49124.0,51141.0,44741.0,43565.0,43178.0,45224.0,43645.0,42926.0,52511.0,46728.0,47942.0,47065.0,47759.0,50293.0,44479.0,43023.0,44017.0,45204.0,44619.0,42259.0,52096.0,46525.0,46428.0,45582.0,49868.0,48947.0,46639.0,43024.0,44131.0,46350.0,44225.0,43347.0,50809.0,45411.0,45458.0,45846.0,46262.0,47275.0,40269.0,40591.0,41487.0,42644.0,40177.0,40628.0,51096.0,46749.0,46869.0,47449.0,48572.0,48685.0,42082.0,42788.0,44736.0,44225.0,42872.0,41299.0,51756.0,45668.0,44922.0,48429.0,49519.0,48292.0,43412.0,42829.0,43093.0,43307.0,41915.0,41125.0,49492.0,46127.0,44878.0,49031.0,50031.0,47798.0,41379.0,41662.0,43868.0,43589.0,40570.0,41442.0,48611.0,44571.0,45651.0,44871.0,46425.0,48665.0,42148.0,41755.0,40796.0,42477.0,41891.0,42697.0,48952.0,45723.0,46280.0,45289.0,45608.0,46179.0,40889.0,39607.0,39875.0,41470.0,39824.0,40911.0
DK_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,1790.0,1888.0,1924.0,1803.0,1883.0,1645.0,1624.0,1654.0,1486.0,1713.0,1684.0,1957.0,1776.0,1909.0,1980.0,1820.0,1878.0,1689.0,1668.0,1658.0,1558.0,1708.0,1695.0,2085.0,1836.0,1929.0,1929.0,1833.0,2006.0,1706.0,1700.0,1666.0,1618.0,1725.0,1700.0,2047.0,1889.0,1954.0,1966.0,1864.0,1911.0,1686.0,1716.0,1668.0,1603.0,1762.0,1728.0,2048.0,1854.0,1892.0,1932.0,1884.0,1897.0,1750.0,1724.0,1691.0,1602.0,1711.0,1727.0,1995.0,1762.0,1806.0,1923.0,1778.0,1834.0,1583.0,1581.0,1600.0,1506.0,1613.0,1636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,14103.0,12477.0,12862.0,13296.0,12902.0,12253.0,11805.0,12003.0,11681.0,12629.0,11149.0,12014.0,14715.0,12377.0,12318.0,13020.0,13366.0,13084.0,11933.0,11991.0,11503.0,12832.0,11395.0,12092.0,13954.0,12572.0,13126.0,13601.0,12687.0,13267.0,11612.0,11809.0,11930.0,12668.0,11484.0,11933.0,14008.0,12603.0,12997.0,13968.0,12946.0,12866.0,12338.0,12440.0,12726.0,13620.0,12380.0,12678.0,14871.0,13136.0,13393.0,16052.0,12847.0,14134.0,12564.0,13181.0,13229.0,13910.0,12838.0,12998.0,14783.0,13717.0,14114.0,14725.0,14418.0,14399.0,12745.0,13281.0,13588.0,14367.0,12997.0,13094.0,15777.0,14628.0,14786.0,15817.0,13310.0,13778.0,13849.0,13936.0,13901.0,14753.0,13830.0,14521.0,16132.0,15213.0,15612.0,16986.0,14558.0,15264.0,14577.0,14578.0,14985.0,16252.0,14691.0,15082.0,17213.0,15904.0,17268.0,18078.0,15923.0,16373.0,14897.0,15546.0,15993.0,17278.0,15565.0,15955.0,18996.0,16976.0,17997.0,18259.0,16683.0,17422.0,16171.0,16555.0,17129.0,17636.0,16630.0,17017.0,19493.0,17781.0,18904.0,19987.0,17564.0,18371.0,16508.0,17733.0,18160.0,18761.0,17817.0,17547.0,20571.0,18788.0,19030.0,19718.0,18059.0,18729.0,18066.0,18289.0,18496.0,19638.0,17645.0,18076.0,21529.0,19964.0,20122.0,21446.0,19986.0,19608.0,18105.0,18890.0,20120.0,21364.0,19950.0,19386.0,21678.0,20402.0,21525.0,22502.0,20761.0,21944.0,19488.0,19744.0,20668.0,22012.0,20253.0,20558.0,23048.0,19756.0,21206.0,23079.0,21540.0,21610.0,19558.0,19709.0,21055.0,22122.0,20060.0,20008.0,23861.0,20800.0,20898.0,23198.0,21633.0,22306.0,18958.0,20728.0,21264.0,23507.0,21024.0,21272.0,24641.0,21725.0,23106.0,24200.0,21586.0,22990.0,20595.0,21275.0,21502.0,23346.0,21596.0,21224.0,24963.0,21464.0,22396.0,23859.0,23530.0,22841.0,21919.0,21313.0,21477.0,23604.0,22083.0,21452.0,24205.0,20873.0,21081.0,23015.0,22064.0,21288.0,19318.0,19976.0,20916.0,23148.0,21811.0,21174.0,23769.0,20408.0,21961.0,23378.0,21881.0,22825.0,19934.0,20411.0,20448.0,23514.0,21431.0,20649.0,23668.0,20337.0,20615.0,21877.0,21414.0,22736.0,19254.0,20347.0,20742.0,22022.0,21592.0,21021.0,24364.0,20967.0,21394.0,22514.0,24241.0,22546.0,20602.0,21393.0,22049.0,23090.0,22958.0,21111.0,23767.0,21026.0,21621.0,22943.0,21666.0,22389.0,20624.0,20627.0,20341.0,23045.0,22050.0,20978.0,23883.0,20964.0,20985.0,22069.0,22048.0,22279.0,19837.0,21016.0,21614.0,24972.0,22341.0,20897.0
