Country,day,month,year,repr,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,24:00:00
AT,15,1,2014, 100,6464,6287,6102,6185,6628,7482,8770,9198,9236,9278,9287,9198,9033,8968,8926,8878,9443,9607,9196,8681,8060,7900,7416,6718
AT,19,2,2014, 100,7212,7062,6806,6882,7384,8265,9509,10008,10204,10344,10502,10319,10296,10240,10184,10116,10147,10507,10122,9519,8889,8543,8078,7546
AT,19,3,2014, 100,6641,6426,6228,6274,6767,7704,8814,9361,9450,9462,9588,9526,9378,9269,9095,9036,8975,9338,9632,9153,8366,8061,7545,6894
AT,16,4,2014, 100,6834,6624,6439,6447,6954,7806,8700,9296,9410,9514,9714,9574,9352,9215,8982,8827,8763,8803,8646,8855,8470,8192,7655,7076
AT,21,5,2014, 100,6296,6167,5950,5972,6286,7239,8262,8693,8744,8783,8929,8875,8787,8674,8622,8506,8418,8342,8202,7981,7944,7707,7192,6619
AT,18,6,2014, 100,6290,6088,5931,5878,6220,7170,8280,8702,8793,8897,9085,9114,8969,8832,8751,8577,8468,8401,8152,7804,7571,7532,7130,6618
AT,16,7,2014, 100,6267,6101,5892,5856,6158,6968,7978,8571,8774,8955,9122,9110,9039,8903,8813,8666,8554,8501,8176,7941,7785,7737,7218,6631
AT,20,8,2014, 100,6145,6010,5814,5772,6196,7036,8019,8691,8923,9139,9320,9250,9027,8885,8774,8651,8579,8605,8437,8415,7888,7463,6979,6451
AT,17,9,2014, 100,6407,6228,5994,5986,6430,7556,8589,9018,9009,9058,9170,9030,8962,8877,8788,8684,8554,8562,8616,8798,8009,7624,7159,6697
AT,15,10,2014, 100,6387,6228,6052,6100,6548,7678,8949,9226,9203,9270,9402,9230,9085,9047,8905,8786,8809,9019,9375,8850,8092,7659,7142,6617
AT,19,11,2014, 100,6929,6766,6559,6640,7055,8103,9322,9675,9704,9806,9955,9888,9801,9766,9818,9938,10265,10156,9736,9140,8578,8215,7742,7196
AT,17,12,2014, 100,6380,6182,5984,6006,6517,7491,8834,9209,9212,9227,9272,9173,9125,9074,9132,9427,9776,9684,9230,8639,8006,7716,7154,6661
BA,15,1,2014, 100,1245,1141,1090,1068,1079,1153,1294,1506,1638,1701,1704,1726,1703,1754,1732,1694,1729,1841,1809,1767,1713,1623,1543,1397
BA,19,2,2014, 100,1210,1101,1070,1060,1058,1145,1324,1488,1602,1630,1595,1567,1546,1578,1562,1533,1529,1683,1799,1765,1692,1613,1486,1334
BA,19,3,2014, 100,1115,1039,986,982,1000,1078,1233,1404,1472,1457,1443,1451,1456,1550,1548,1542,1500,1487,1652,1702,1639,1548,1427,1269
BA,16,4,2014, 100,1196,1105,1054,1043,1047,1118,1268,1471,1583,1622,1627,1622,1610,1595,1644,1614,1606,1586,1619,1709,1772,1684,1541,1401
BA,21,5,2014, 100,1038,944,899,882,899,911,1061,1256,1340,1376,1376,1371,1365,1370,1421,1409,1372,1312,1277,1303,1468,1544,1369,1206
BA,18,6,2014, 100,1085,980,939,920,919,942,1049,1253,1349,1419,1432,1450,1458,1444,1478,1452,1416,1368,1357,1381,1474,1508,1385,1239
BA,16,7,2014, 100,1129,1046,1028,970,950,951,1059,1244,1370,1421,1448,1477,1495,1494,1539,1527,1485,1432,1404,1460,1520,1544,1412,1281
BA,20,8,2014, 100,1105,1025,981,956,963,998,1079,1261,1369,1408,1471,1490,1486,1498,1545,1510,1483,1429,1421,1480,1596,1550,1384,1243
BA,17,9,2014, 100,1062,988,951,928,939,1005,1148,1341,1432,1458,1453,1433,1437,1437,1483,1456,1434,1405,1432,1642,1629,1511,1338,1209
BA,15,10,2014, 100,1077,985,982,943,969,1022,1192,1379,1465,1489,1466,1481,1470,1486,1534,1528,1504,1507,1649,1682,1611,1493,1326,1195
BA,19,11,2014, 100,1134,1053,1009,998,1018,1110,1272,1455,1558,1601,1592,1596,1575,1631,1628,1629,1721,1811,1777,1725,1671,1591,1467,1319
BA,17,12,2014, 100,1207,1103,1058,1035,1051,1143,1353,1536,1638,1663,1660,1651,1645,1702,1716,1742,1823,1887,1828,1817,1741,1656,1548,1387
BE,15,1,2014, 100,10124,9659,9349,9137,9268,9665,10650,11748,12306,12386,12432,12577,12363,12367,12134,12170,12234,12894,12962,12416,11650,11088,11204,11136
BE,19,2,2014, 100,10104,9551,9171,8998,9033,9485,10674,11595,11687,11843,11968,12091,11774,11606,11542,11497,11417,11577,12188,12037,11418,10840,10940,10747
BE,19,3,2014, 100,9442,8816,8448,8344,8474,8983,9993,10611,10786,11009,10991,11060,10941,10880,10709,10638,10487,10570,10764,11257,10802,10242,10223,9906
BE,16,4,2014, 100,9243,8771,8390,8310,8421,8819,9635,10058,10459,10759,10853,10978,10800,10669,10551,10417,10328,10239,10222,9917,9832,10015,10082,9871
BE,21,5,2014, 100,8599,8170,7918,7811,7838,8117,8872,9848,10389,10897,11120,11422,11131,10858,10698,10660,10493,10477,10363,10125,9800,9669,9754,9273
BE,20,8,2014, 100,8505,8113,7823,7749,7766,8185,8871,9471,10061,10364,10624,10875,10725,10549,10475,10533,10442,10445,10258,9976,9786,9798,9739,9186
BG,15,1,2014, 100,4528,4222,4053,4021,4012,4210,4676,5237,5507,5701,5619,5615,5486,5470,5420,5417,5566,5862,6119,6023,5714,5520,5340,4916
BG,19,2,2014, 100,3998,3698,3618,3563,3577,3780,4213,4694,4921,5020,4892,4851,4672,4591,4480,4439,4470,4691,5329,5425,5215,5000,4855,4448
BG,19,3,2014, 100,3593,3349,3182,3135,3198,3400,3796,4198,4233,4163,3969,3930,3880,3899,3848,3803,3808,3890,4337,4886,4734,4526,4343,4008
BG,16,4,2014, 100,3875,3574,3437,3413,3404,3562,3950,4458,4693,4845,4794,4775,4733,4784,4761,4719,4766,4773,4952,5174,5195,5060,4826,4456
BG,21,5,2014, 100,3402,3110,2988,2960,2960,3049,3387,3646,3864,3843,3827,3860,3833,3900,3849,3835,3827,3790,3825,3921,3986,4171,4083,3818
BG,18,6,2014, 100,3466,3109,3055,2973,2965,3003,3272,3638,3902,4020,4057,4020,4042,4092,4036,4039,3994,4020,4149,4243,4193,4126,3970,3689
BG,16,7,2014, 100,3465,3197,3044,2983,3000,3057,3255,3537,3873,4069,4103,4157,4065,4111,4034,4026,3971,3963,4054,4046,4054,4223,4080,3847
BG,20,8,2014, 100,3390,3085,2972,2908,2886,2989,3169,3461,3822,3961,3982,4091,4058,4155,4143,4125,4091,4037,4101,4166,4315,4389,4110,3773
BG,17,9,2014, 100,3453,3147,3023,2997,3033,3118,3465,3807,4015,4135,4110,4070,3999,4010,3994,4041,4003,3986,4091,4511,4564,4258,3861,3671
BG,15,10,2014, 100,3499,3206,3101,3060,3065,3215,3680,4038,4220,4251,4110,4057,3933,3950,3927,3976,3979,4072,4380,4875,4703,4434,4084,3842
BG,19,11,2014, 100,4013,3757,3611,3566,3582,3740,4193,4663,5003,5090,5046,5027,4915,4850,4855,4948,5050,5384,5569,5490,5260,4982,4741,4458
CY,15,1,2014, 100,426,368,334,323,319,351,426,476,504,502,495,495,492,487,477,474,509,606,614,612,592,568,526,475
CY,19,2,2014, 100,387,337,311,301,304,320,392,435,461,460,457,452,453,452,438,429,426,490,563,566,554,531,494,443
CY,19,3,2014, 100,362,323,301,290,293,304,369,416,441,442,440,448,447,445,429,422,418,441,527,529,510,491,445,400
CY,16,4,2014, 100,345,308,290,280,279,290,348,412,442,452,452,449,448,446,433,428,425,423,433,488,503,481,444,394
CY,21,5,2014, 100,380,351,336,325,328,332,391,453,497,517,518,520,525,518,511,501,487,485,487,503,535,518,483,435
CY,18,6,2014, 100,467,422,404,390,382,373,436,520,592,635,657,664,665,657,651,638,636,629,619,608,630,626,590,551
CY,20,8,2014, 100,608,576,547,525,510,502,511,595,663,706,718,719,720,724,724,710,699,687,674,664,695,674,651,633
CY,17,9,2014, 100,463,428,406,388,384,398,440,521,599,636,648,657,659,654,645,639,633,619,604,647,632,591,550,506
CY,15,10,2014, 100,367,341,328,322,326,342,390,444,492,512,522,529,525,514,510,504,502,506,558,584,553,503,447,393
CY,19,11,2014, 100,321,300,288,284,288,306,353,406,440,443,449,451,453,452,450,449,477,547,556,541,509,465,411,360
CY,17,12,2014, 100,382,347,328,321,323,347,401,458,498,503,492,501,519,520,525,537,566,643,645,631,607,569,509,449
CZ,15,1,2014, 100,7015,7047,6961,6825,6920,7362,8503,9105,9124,9233,9192,9184,9260,9207,9142,9147,9157,9321,9144,9026,8796,8225,7772,7341
CZ,19,2,2014, 100,7026,7111,6926,6807,6890,7354,8439,8956,9085,9203,9183,9184,9236,9232,9161,8959,8701,9012,9047,8902,8671,8176,7625,7232
CZ,19,3,2014, 100,6568,6595,6451,6360,6468,6940,7900,8352,8548,8566,8506,8517,8577,8551,8560,8528,8296,8244,8559,8716,8453,7830,7243,6853
CZ,16,4,2014, 100,6775,6800,6713,6609,6661,7088,8062,8641,8772,8912,8725,8706,8741,8654,8522,8539,8349,8296,8114,8267,8435,8012,7502,7066
CZ,21,5,2014, 100,6109,6096,5973,5825,5834,6005,6955,7562,7660,7729,7533,7617,7737,7645,7551,7573,7504,7372,7249,7308,7306,7234,6855,6410
CZ,18,6,2014, 100,6126,6056,5980,5834,5738,5947,6908,7382,7559,7696,7659,7731,7760,7610,7557,7617,7515,7377,7186,7213,7138,7018,6838,6438
CZ,16,7,2014, 100,6032,5961,5849,5704,5682,5789,6640,7149,7436,7644,7726,7886,7896,7783,7650,7674,7512,7358,7134,7061,7029,6964,6732,6314
CZ,20,8,2014, 100,5921,5835,5675,5612,5618,5855,6689,7218,7535,7670,7719,7833,7821,7651,7502,7520,7457,7311,7129,7201,7385,7012,6570,6173
CZ,17,9,2014, 100,5951,5950,5801,5694,5711,6116,7148,7643,7771,7912,7761,7821,7891,7772,7673,7695,7572,7410,7317,7757,7750,7114,6639,6205
CZ,15,10,2014, 100,6111,6089,5975,5851,5887,6333,7626,8111,8240,8299,8135,8159,8209,8073,8042,8033,7954,7935,8270,8417,8005,7311,6824,6393
CZ,19,11,2014, 100,6646,6607,6457,6382,6469,6951,8180,8721,8823,8918,8823,8867,8983,8988,8937,9055,9208,9210,9022,8906,8546,7976,7455,7032
CZ,17,12,2014, 100,6993,6942,6868,6739,6829,7300,8442,8986,8981,9006,8910,8912,9004,9058,9083,9282,9459,9425,9215,9057,8856,8317,7719,7292
DE,15,1,2014, 97,55278,53052,52031,52582,54173,57505,66159,73731,75724,75145,75524,76504,76058,75676,74861,74445,75040,78606,78219,76046,71520,67938,65052,59946
DE,19,2,2014, 97,55484,53302,52246,52861,54414,58068,66577,73334,75395,75755,76757,77760,76938,76250,74888,73875,72591,74265,77609,76195,71663,67676,64700,59361
DE,19,3,2014, 97,52334,50363,49491,49923,51881,56082,64322,69848,72678,73274,74444,75689,74517,73556,72207,70924,69311,69228,71618,74422,70224,66036,62207,56819
