Country,1991/1,1991/2,1991/3,1991/4,1991/5,1991/6,1991/7,1991/8,1991/9,1991/10,1991/11,1991/12,1992/1,1992/2,1992/3,1992/4,1992/5,1992/6,1992/7,1992/8,1992/9,1992/10,1992/11,1992/12,1993/1,1993/2,1993/3,1993/4,1993/5,1993/6,1993/7,1993/8,1993/9,1993/10,1993/11,1993/12,1994/1,1994/2,1994/3,1994/4,1994/5,1994/6,1994/7,1994/8,1994/9,1994/10,1994/11,1994/12,1995/1,1995/2,1995/3,1995/4,1995/5,1995/6,1995/7,1995/8,1995/9,1995/10,1995/11,1995/12,1996/1,1996/2,1996/3,1996/4,1996/5,1996/6,1996/7,1996/8,1996/9,1996/10,1996/11,1996/12,1997/1,1997/2,1997/3,1997/4,1997/5,1997/6,1997/7,1997/8,1997/9,1997/10,1997/11,1997/12,1998/1,1998/2,1998/3,1998/4,1998/5,1998/6,1998/7,1998/8,1998/9,1998/10,1998/11,1998/12,1999/1,1999/2,1999/3,1999/4,1999/5,1999/6,1999/7,1999/8,1999/9,1999/10,1999/11,1999/12,2000/1,2000/2,2000/3,2000/4,2000/5,2000/6,2000/7,2000/8,2000/9,2000/10,2000/11,2000/12,2001/1,2001/2,2001/3,2001/4,2001/5,2001/6,2001/7,2001/8,2001/9,2001/10,2001/11,2001/12,2002/1,2002/2,2002/3,2002/4,2002/5,2002/6,2002/7,2002/8,2002/9,2002/10,2002/11,2002/12,2003/1,2003/2,2003/3,2003/4,2003/5,2003/6,2003/7,2003/8,2003/9,2003/10,2003/11,2003/12,2004/1,2004/2,2004/3,2004/4,2004/5,2004/6,2004/7,2004/8,2004/9,2004/10,2004/11,2004/12
AT,4730,4553,4303,3936,3852,3632,3749,3623,3609,4124,4345,4655,4720,4360,4372,3899,3673,3578,3651,3507,3634,4121,4274,4559,4601,4405,4577,3865,3597,3533,3685,3598,3792,4070,4500,4616,4588,4345,4342,3924,3766,3685,3646,3612,3751,4146,4250,4687,4974,4227,4642,3999,3883,3772,3761,3707,3918,4083,4609,4835,5142,4934,4825,4171,3918,3806,3956,3813,4124,4492,4497,4981,5286,4529,4658,4442,4012,4000,4086,3966,4118,4681,4777,4984,5082,4549,4935,4339,4146,4058,4180,4073,4313,4674,4917,5255,5209,4932,4915,4419,4270,4247,4352,4222,4318,4652,5086,5391,5607,5133,5267,4597,4512,4354,4509,4451,4597,4952,5119,5415,5723,5096,5362,4808,4627,4460,4641,4509,4739,5136,5466,5853,6262,5047,5161,4799,4372,4380,4544,4301,4702,5336,5815,5704,5916,5513,5444,4797,4492,4432,4671,4501,4642,5325,5211,5566,6240,5841,6122,5409,5233,5240,5281,4983,5244,5537,5954,6215
BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251,1047,1160,1141,979,943,846,776,749,965,1325,1428,1013,922,941,829,790,769,802,810,795,950,951,1058
BE,6157,5802,5623,5255,5200,5024,4608,4733,5062,5744,5924,6166,6423,5894,5992,5535,5219,5121,4746,5022,5371,6053,5915,6150,6289,5871,6092,5508,5273,5245,4765,5017,5521,6074,6224,6449,6531,6067,6417,5892,5572,5528,5031,5327,5827,6297,6248,6711,7002,6185,6715,6038,5900,5724,5242,5526,5819,6137,6374,6863,7072,6752,6807,5983,6007,5591,5361,5481,5932,6467,6693,7137,7536,6412,6634,6331,6046,5906,5645,5800,6059,6721,6798,7180,7327,6602,7091,6574,6290,6099,5840,5912,6377,6983,7098,7223,7171,6755,7128,6494,6212,6186,5873,6071,6366,7035,7237,7572,7552,7107,7422,6680,6714,6323,6167,6284,6563,7210,7323,7506,7906,7077,7602,6904,6628,6351,6152,6344,6620,7064,7301,7605,7823,7212,7341,6826,6761,6541,6395,6448,6711,7390,7343,7799,8209,7460,7516,7001,6860,6599,6517,6501,6838,7611,7481,7889,8173,7557,7857,7110,6956,6843,6604,6751,7066,7542,7686,8131
BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899,3770,3643,3000,2375,2342,2524,2518,2499,2968,3239,3917,3633,3457,3269,2662,2529,2440,2537,2527,2496,2743,3160,3564
CH,4927,4727,4457,4185,4090,3805,3637,3697,3847,4391,4670,4903,5088,4973,4693,4158,3938,3733,3704,3741,3923,4432,4500,4738,4798,4555,4777,3992,3803,3772,3659,3689,3950,4371,4774,4788,4820,4514,4437,4177,3911,3883,3638,3707,3984,4311,4443,4722,5158,4379,4814,4045,4001,3882,3710,3756,4030,4199,4682,4911,5075,4928,4764,4109,3964,3770,3738,3733,4148,4373,4850,4930,5225,4533,4521,4235,3984,3854,3810,3815,4040,4515,4791,5004,5106,4608,4822,4289,4038,3980,3867,3893,4202,4472,4955,5142,5189,4996,5038,4447,4147,3999,3920,4017,4282,4611,5104,5306,5474,5021,5084,4427,4434,4173,4142,4229,4369,4791,5126,5131,5514,4955,5226,4715,4501,4286,4341,4322,4509,4803,5233,5495,5748,4977,5152,4762,4611,4380,4342,4349,4561,5019,5146,5406,5722,5381,5217,4729,4459,4502,4433,4435,4554,5106,5200,5523,5773,5333,5540,4776,4646,4534,4446,4510,4645,5024,5383,5777
CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4349,4180,3934,3328,2740,2653,2693,2723,2714,3375,3641,4333,4514,4095,3941,3229,2993,2778,2825,2788,2837,3272,3807,4400
CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5710,5165,5466,4568,4188,3940,3809,3892,4302,4947,5486,5676,5598,5279,5225,4429,4128,3867,3628,3801,3970,4708,5287,5519,5802,5233,5434,4478,4167,4061,3909,4099,4295,4832,5187,5477,5895,5175,5535,4908,4309,4196,3955,4145,4440,4868,5514,5749,5984,5067,5361,4799,4312,4092,4076,4077,4382,5182,5358,5832,6066,5617,5497,4927,4349,4187,4171,4210,4406,5320,5422,5721,6153,5576,5796,4919,4732,4401,4222,4343,4567,5179,5633,5930
DE,42960,40635,39147,37131,35837,34338,33659,32965,34676,39053,40689,41376,43404,40458,40979,37025,34606,33124,34067,32558,35274,39826,39933,40496,41587,39476,41395,35679,33503,33182,32835,32908,35701,38720,41557,41585,41663,39067,40734,36476,34983,34207,33728,34026,35958,38838,39678,41513,44030,38115,41930,36389,36073,34129,33867,34081,41414,43930,48013,50155,52421,49450,49554,42957,42128,39396,40361,40148,42574,46309,47863,50603,54036,45820,46349,45777,41693,41138,41723,40357,42298,47508,49192,50231,50898,46330,49932,44737,42816,41496,43049,41998,44305,48186,50412,51470,47002,44597,46488,41164,39623,38800,39308,39217,40624,44320,46923,48932,49541,46272,47985,42178,42548,39286,40869,40033,42436,45615,46923,47628,50795,44411,48465,43492,43081,39169,41007,41078,41685,44790,47159,47481,50536,43691,47408,43885,42819,39961,40725,40119,42027,45132,46645,47818,51972,48079,47640,43901,42905,40763,42115,41465,42997,46742,47311,48136,51017,47312,49694,43871,43291,42319,43535,42234,43060,46883,49159,50298
DK_W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996,1803,1883,1645,1624,1654,1486,1713,1684,1790,1888,1924
ES,14103,12902,12253,11805,12003,11681,12629,11149,12014,12477,12862,13296,14715,13366,13084,11933,11991,11503,12832,11395,12092,12377,12318,13020,13954,12687,13267,11612,11809,11930,12668,11484,11933,12572,13126,13601,14008,12946,12866,12338,12440,12726,13620,12380,12678,12603,12997,13968,14871,12847,14134,12564,13181,13229,13910,12838,12998,13136,13393,16052,14783,14418,14399,12745,13281,13588,14367,12997,13094,13717,14114,14725,15777,13310,13778,13849,13936,13901,14753,13830,14521,14628,14786,15817,16132,14558,15264,14577,14578,14985,16252,14691,15082,15213,15612,16986,17213,15923,16373,14897,15546,15993,17278,15565,15955,15904,17268,18078,18996,16683,17422,16171,16555,17129,17636,16630,17017,16976,17997,18259,19493,17564,18371,16508,17733,18160,18761,17817,17547,17781,18904,19987,20571,18059,18729,18066,18289,18496,19638,17645,18076,18788,19030,19718,21529,19986,19608,18105,18890,20120,21364,19950,19386,19964,20122,21446,21678,20761,21944,19488,19744,20668,22012,20253,20558,20402,21525,22502
