Country,2005/1,2005/2,2005/3,2005/4,2005/5,2005/6,2005/7,2005/8,2005/9,2005/10,2005/11,2005/12,2006/1,2006/2,2006/3,2006/4,2006/5,2006/6,2006/7,2006/8,2006/9,2006/10,2006/11,2006/12,2007/1,2007/2,2007/3,2007/4,2007/5,2007/6,2007/7,2007/8,2007/9,2007/10,2007/11,2007/12,2008/1,2008/2,2008/3,2008/4,2008/5,2008/6,2008/7,2008/8,2008/9,2008/10,2008/11,2008/12,2009/1,2009/2,2009/3,2009/4,2009/5,2009/6,2009/7,2009/8,2009/9,2009/10,2009/11,2009/12,2010/1,2010/2,2010/3,2010/4,2010/5,2010/6,2010/7,2010/8,2010/9,2010/10,2010/11,2010/12,2011/1,2011/2,2011/3,2011/4,2011/5,2011/6,2011/7,2011/8,2011/9,2011/10,2011/11,2011/12,2012/1,2012/2,2012/3,2012/4,2012/5,2012/6,2012/7,2012/8,2012/9,2012/10,2012/11,2012/12,2013/1,2013/2,2013/3,2013/4,2013/5,2013/6,2013/7,2013/8,2013/9,2013/10,2013/11,2013/12
AT,5339,5051,5218,5180,5023,4994,5063,4846,5012,5432,5805,6211,6407,5757,5704,5266,5240,5154,5273,5130,5188,5561,5766,6054,6266,5520,5896,5194,5298,5199,5341,5179,5331,5865,6058,6292,6356,5879,6064,5603,5363,5345,5448,5244,5484,5764,5762,6066,6258,5637,5865,5009,5025,4966,5188,4991,5211,5646,5718,6121,6348,5752,6030,5342,5301,5264,5393,5243,5399,5798,5903,6551,6417,5849,6163,5348,5423,5193,5396,5383,5447,5754,5990,6204,6348,6353,6062,5444,5406,5323,5475,5397,5377,5835,5926,6314,6541,5974,6269,5587,5395,5337,5514,5340,5437,5900,6051,6264
BA,1037,983,988,882,832,909,841,856,824,917,1037,1085,1118,976,986,847,852,837,853,861,840,907,963,1069,1024,890,952,851,869,842,889,874,865,985,1016,1114,1093,998,1012,911,908,888,928,939,835,983,993,1087,1100,935,963,816,831,813,863,879,846,939,961,1055,1073,977,1015,911,898,875,929,944,913,1031,1001,1158,1155,1038,1075,938,939,908,967,984,925,1014,1086,1157,1161,1135,1020,957,934,913,976,983,921,990,993,1139,1111,1009,1060,946,920,904,967,978,921,1002,1030,1168
BE,8164,7534,7844,7171,6993,6812,6481,6636,6981,7305,7769,8237,8498,7768,8261,7290,7234,7001,6906,6859,7121,7603,7741,8080,8332,7476,7950,7084,7174,7035,6874,7032,7140,7803,8012,8248,8466,7991,8095,7598,7332,7076,6950,6880,7204,7637,7425,7551,8029,7160,7189,6445,6522,6417,6344,6494,6819,7331,7206,7849,8403,7552,7892,7242,7200,7008,6876,6921,7106,7604,7821,8574,8748,7408,7818,7002,7103,6874,6602,6676,6732,7188,7276,7593,7911,7956,7487,6915,6764,6544,6276,6648,6527,7041,7306,7482,8037,7217,7797,6989,6824,6556,6582,6663,6746,7470,7737,7621
BG,3584,3420,3418,2780,2517,2492,2652,2629,2574,2964,3386,3667,3999,3530,3447,2735,2686,2630,2424,2485,2708,2642,3035,3351,3204,2971,3052,2562,2464,2438,2360,2339,2233,2768,3100,3635,3917,3295,2954,2637,2522,2459,2578,2584,2499,2722,2982,3304,3609,3076,3192,2533,2293,2274,2436,2369,2270,2578,2766,3180,3483,3048,3018,2440,2284,2021,2113,2239,2265,2739,2634,3253,3471,3102,3083,2573,2408,2325,2487,2459,2337,2713,3112,3163,3552,3574,2977,2334,2281,2285,2475,2391,2180,2387,2711,3316,3387,2919,2891,2432,2207,2345,2453,2495,2314,2648,2752,3358
CH,6004,5593,5612,5065,4826,4782,4703,4723,4916,5221,5532,6070,6221,5586,5968,4987,4930,4792,4718,4692,4914,5145,5468,5802,5856,5317,5672,4817,4920,4824,4730,4763,4918,5400,5816,6027,6061,5611,5732,5373,4979,4907,4855,4807,5077,5392,5642,5998,6297,5611,5710,4797,4765,4675,4727,4744,4846,5291,5512,6037,6329,5698,5968,5107,5096,4946,4919,4898,5023,5519,5797,6409,6298,5682,5910,4927,5084,4792,4797,4869,4946,5370,5722,6042,6234,6329,5654,5106,4916,4797,4770,4828,4886,5447,5696,6094,6272,5916,5985,5241,5056,4824,4813,4755,4845,5289,5767,6088
CS,4283,4147,4063,3227,2912,2762,2810,2816,2850,3415,3931,4416,4594,3992,4184,3253,3041,2947,2921,2939,2933,3289,3837,4332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,393,379,341,381,448,549,620,507,411,365,404,446,407,411,347,378,436,492,492,440,358,350,391,446,386,358,303,343,417,540,505,426,363,301,330,353,296,300,279,331,368,452,463,376,318,288,362
CZ,6042,5736,5916,5013,4821,4518,4359,4479,4654,5254,5816,6085,6641,5882,6190,5123,4872,4724,4541,4688,4724,5326,5775,5822,6055,5534,5884,5071,5009,4777,4671,4788,4933,5636,6123,6182,6342,5874,6014,5499,5110,4784,4819,4761,5081,5533,5636,5688,6283,5562,5718,4629,4599,4499,4483,4510,4648,5357,5479,5831,6277,5640,5806,5046,4963,4687,4568,4679,4860,5417,5539,6254,6160,5685,5790,4966,4975,4683,4564,4754,4713,5312,5717,5717,6029,6176,5595,5088,4879,4652,4595,4683,4713,5381,5512,5725,6117,5517,5915,5101,4842,4635,4556,4668,4815,5319,5573,5651
DE,50927,48766,49467,45074,43240,43598,43805,43010,43081,46034,49063,50306,52891,49124,51141,44741,43565,43178,45224,43645,42926,45998,48617,48028,52511,47759,50293,44479,43023,44017,45204,44619,42259,46728,47942,47065,52096,49868,48947,46639,43024,44131,46350,44225,43347,46525,46428,45582,50809,46262,47275,40269,40591,41487,42644,40177,40628,45411,45458,45846,51096,48572,48685,42082,42788,44736,44225,42872,41299,46749,46869,47449,51756,49519,48292,43412,42829,43093,43307,41915,41125,45668,44922,48429,49492,50031,47798,41379,41662,43868,43589,40570,41442,46127,44878,49031,48611,46425,48665,42148,41755,40796,42477,41891,42697,44571,45651,44871
DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3507,3112,3197,2723,2742,2655,2573,2683,2762,2960,3180,3546,3397,2890,3139,2652,2727,2553,2527,2749,2759,2895,3014,3156,3263,3152,2980,2694,2653,2566,2378,2692,2672,2953,3002,3263,3336,2922,3094,2690,2590,1723,2456,2435,2294,2829,2933,3048
DK_W,1957,1820,1878,1689,1668,1658,1558,1708,1695,1776,1909,1980,2085,1833,2006,1706,1700,1666,1618,1725,1700,1836,1929,1929,2047,1864,1911,1686,1716,1668,1603,1762,1728,1889,1954,1966,2048,1884,1897,1750,1724,1691,1602,1711,1727,1854,1892,1932,1995,1778,1834,1583,1581,1600,1506,1613,1636,1762,1806,1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,768,756,635,575,505,516,528,572,671,728,855,824,787,769,637,588,515,521,551,562,644,690,739,820,844,753,659,593,534,531,560,584,685,717,858,860,732,811,691,608,543,554,571,573,661,697,748
